V1,A.S. President,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - CCS,Collegiate Senator - CCS,Collegiate Senator - CCS,Collegiate Senator - Engineering,Collegiate Senator - Engineering,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. University Owned Off Campus
ResponseID,Alejandra Melgoza - Independent,Austin Hechler - Campus United,Jose Magana - Peer Action Coalition (PAC),Write-In,Write-In-TEXT,Write-In,Write-In-TEXT,Write-In,Write-In-TEXT,Ashcon Minoiefar - Campus United,Neha Nayak - Campus United,Stevan Abdalmalik - The Response,Victor Garcia - Peer Action Coalition (PAC),"Josephine ""Josie"" Ampaw - Independent",Cameron Demille - Peer Action Coalition (PAC),"Felipe ""Flippy"" Recinos Quant - The Response","Williams ""Willie"" Roman - The Response",Marjan Abubo - The Response,Alexander Giolito - Campus United,Tamar Barlev - Campus United,Jasmine Sandhu - Campus United,Kimberly Fuentes Carrillo - Peer Action Coalition (PAC),Steven Kwok - Peer Action Coalition (PAC),"Richard ""Rick"" Zierer - Peer Action Coalition (PAC)","Emanuel ""Manny"" Suarez Jimenez - Queer and Trans Student Body (QuTSB)",Ezra Kosviner - Campus United,"Jordan ""Robeman"" Mitchell - The Response",Adam Tabor - Peer Action Coalition (PAC),"Matthew ""Matt"" Greenberg - Campus United",Kelvin Campos - Peer Action Coalition (PAC),"Jonathan ""Jonathan Lopez"" Lopez - The Response",Jesse Velasquez - The Response,Leanna Lugo - The Response,Luvia Solis-Barraza - The Response,Maria Hoang - The Response,Reilly Hobson - Campus United,Bianca Fernandez - Campus United,Elias Jordan - Campus United,Cole Marting - Campus United,"Steven ""Digy"" Stovall - Campus United",Patrick Dohoney - Campus United,Rebecca Yadegari - Campus United,Batsheva Stoll - Campus United,"Izabella ""Izzy"" Kipnis - Campus United",Hannah Ellenhorn - Campus United,Ashley Selki - Campus United,Cole Hyatt - The Response,Joel Ruiz - Peer Action Coalition (PAC),Hien Mai - The Response,Sophia Dycaico - Peer Action Coalition (PAC),Sebastian Rubio Ruiz - Peer Action Coalition (PAC),Aaron Hendizadeh - Campus United,Marisol Hernandez - Peer Action Coalition (PAC),Juliano Pula - Peer Action Coalition (PAC),Lesly Silva - The Response,"Bryan ""Bryan"" Samayoa-Velasquez - Campus United","Kuvimbanashe ""Eddy"" Chikukwa - Peer Action Coalition (PAC)","Kou ""KO"" Collins - Peer Action Coalition (PAC)",Conor Collins - Peer Action Coalition (PAC),Unique Vance - The Response,"Yanira ""Jenny"" Flores - The Response",Deanna Nguyen - Campus United,"Sabrina ""Sabrina"" Divin - Peer Action Coalition (PAC)"
R_00000000002995,,1,,,,,,,,1,1,,,,,,,,3,1,2,,,,,,,,,,,,,,,12,11,10,9,8,7,6,2,1,4,5,,,,,,,,,,,,,,,,,
R_00000000002996,2,1,3,,,,,1,,1,2,1,3,1,,,3,,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,3,4,2,,,
R_00000000002997,,,,1,Jose Magana,2,Alejandra Melgoza,3,Austin Hechler,1,1,3,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,
R_00000000002998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000002999,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,2,3,1,,,,,,,,,,,,,,,7,4,6,8,9,5,10,2,11,12,1,,,,13,,14,,,,,,,,,,,
R_00000000003000,1,3,2,,,,,,,1,3,2,1,1,,,,4,,,,1,3,,2,,,,,,1,2,4,5,6,,,,,,,,,,,,7,8,9,10,11,12,13,14,,,,,,,,,
R_00000000003001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003002,3,2,1,,,,,,,1,2,1,3,,,,,3,2,1,4,,,,,,,,,,14,,,,,1,2,4,13,5,6,7,8,9,10,11,,,,,,12,,,,,,,,,,,
R_00000000003003,3,1,2,1,idk,2,idk,3,idk,1,2,1,3,1,,2,3,1,,,4,,,,,,,,,,,5,,,,,,,,2,,4,,,,,,,,,,1,,,,,,,,,,,
R_00000000003004,1,3,2,,,,,,,1,3,1,2,1,,3,2,1,,,,,,,4,,,,,,2,1,4,5,7,,,,,,,14,,,,,8,9,6,10,11,,12,13,,,,,,,,,
R_00000000003005,1,3,2,,,,,,,,3,1,2,1,,2,1,3,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,4,5,1,,,
R_00000000003006,3,1,2,,,,,,,1,1,3,2,1,,,,,1,,,,,,,,,,,,,,,,,,2,,,1,,,4,,,,,,,,,,,,,,,,,,,,
R_00000000003007,3,1,2,,,,,,,1,1,3,2,1,4,,2,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1
R_00000000003008,1,3,2,,,,,,,1,3,1,2,1,,4,3,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,4,3,2,,,
R_00000000003009,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
R_00000000003010,3,2,1,2,Austin Hechler,1,Jose Magana,,,1,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000003011,1,3,2,,,,,,,1,1,3,2,1,,4,,3,,1,,2,,,,,,,,,,,8,5,1,12,,,,,11,2,,,7,9,,4,13,,10,6,,14,,,,,,,,,
R_00000000003012,3,1,2,,,,,,,1,1,3,2,1,,2,1,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,4,1,,,
R_00000000003013,2,1,3,1,Abenezer Zeleke,,,,,1,1,2,3,1,,,,4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2
R_00000000003014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003015,2,3,1,,,,,,,1,2,1,3,1,3,4,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,4,2,1,,,
R_00000000003016,2,1,3,,,,,,,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003017,3,2,1,,,,,,,1,2,1,3,1,,1,,2,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,,3,4,,,
R_00000000003018,3,2,1,1,Jose Magana,2,Austin Hechler,3,Alejandra Melgoza,1,2,3,1,1,,1,,2,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
R_00000000003019,2,1,3,,,,,,,1,2,1,3,1,,,4,,1,3,,,,2,,,,,,,,,,14,,5,,,4,12,2,7,13,11,10,9,1,,,,,6,,8,,,,,,,,,
R_00000000003020,3,2,1,,,,,,,1,1,3,2,1,,,,,1,2,3,,,,4,,,,,,,,,,14,13,12,11,10,9,8,7,6,5,4,2,,,,,,1,,,,,,,,,,,
R_00000000003021,3,2,1,,,,,,,1,3,2,1,1,,,4,,1,2,,,3,,,,,,,,,12,,13,11,1,4,14,,2,5,7,6,,8,9,,,,,,10,,,,,,,,,,,
R_00000000003022,3,1,2,,,,,,,1,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003023,3,1,2,,,,,,,1,1,2,3,1,,,,1,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
R_00000000003024,3,1,2,1,Matilda Mead,,,,,1,1,3,2,1,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2
R_00000000003025,1,3,2,,,,,,,1,2,1,3,1,,3,4,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2
R_00000000003026,2,3,1,,,,,,,1,1,2,3,1,,,,,,1,,2,,4,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003027,2,1,3,,,,,,,1,2,1,3,1,,2,1,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,5,,2,,,
R_00000000003028,1,3,2,,,,,,,,3,2,1,1,,,4,,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,4,5,2,,,
R_00000000003029,,1,,,,,,,,1,1,,,1,,,,,1,3,2,,,,,,,,,,,,,,,4,5,1,2,6,7,8,9,12,11,10,,,,,,13,,,,,,,,,,,
R_00000000003030,,,1,,,,,,,1,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003031,3,2,1,,,,,,,1,3,1,2,1,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,5,,1,,,
R_00000000003032,2,1,3,,,,,,,1,1,3,2,,,,,,2,1,3,,4,,,,,,,,,,,,,4,,5,1,,,,,,,,,,,,,2,,,,,,,,,,,
R_00000000003033,2,1,3,,,,,,,,1,2,3,1,,,4,1,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,3,,5,,,
R_00000000003034,3,2,1,,,,,,,1,2,3,1,1,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,1,3,,,,
R_00000000003035,2,1,3,1,Natalie Jordan,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
R_00000000003036,3,2,1,,,,,,,1,3,1,2,1,,1,2,,,,3,4,,,,,,,,,6,1,7,8,5,,9,,,,,10,,,,,11,12,13,4,,,2,14,,,,,,,,,
R_00000000003037,3,2,1,,,,,,,1,1,,,1,,,,3,,,1,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,5,4,2,,,
R_00000000003038,3,1,2,1,Natalie Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003039,2,1,3,,,,,,,1,2,1,3,1,,,,,2,,1,,4,,3,,,,,,,,,,,1,2,4,5,6,7,9,10,11,14,,8,,,12,,,,13,,,,,,,,,
R_00000000003040,2,3,1,1,Natalie Jordan,,,,,1,3,2,1,1,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,5,1,,,,
R_00000000003041,3,2,1,,,,,,,1,3,2,1,1,,,,,,,,,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2
R_00000000003042,,,,1,Annie Edison,2,South Park,3,Martin O'Malley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003043,,1,,1,ivan velev,,,,,1,1,,,1,,,,,1,3,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003044,3,1,2,1,Natalie Jordan,,,,,1,1,,,,,,,,2,1,,,,,,,,,,,,,,,1,2,4,,5,6,7,8,9,,,,,,,,,,,,,,,,,,,,
R_00000000003045,1,,,,,,,,,,,1,,1,,2,3,1,,,,,,,,,,,,,2,4,5,6,7,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,
R_00000000003046,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003047,3,1,2,1,Natalie Jordan,,,,,1,1,3,2,1,,,,,2,1,3,,,,4,,,,,,,,,,,9,8,7,6,14,1,5,4,13,2,10,,,,,,11,12,,,,,,,,,,
R_00000000003048,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003050,1,,,,,,,,,1,,,1,1,,,,2,,1,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003051,2,3,1,1,Natalie Jordan,,,,,1,3,2,1,1,2,,,,,,,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,4,5,,,,,,,,,
R_00000000003052,2,3,1,1,Manushi Yapabandara,,,,,1,,1,,1,4,2,3,1,,,,,,,,,,,,,4,5,6,1,,,,,,,,,,,,,7,,2,8,,,,,,,,,,,,,
R_00000000003053,2,1,3,,,,,,,,,,,,,,4,,1,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,
R_00000000003054,3,1,2,,,,,,,1,1,2,3,1,,,4,,3,2,1,,,,,,,,,,,,,,14,6,5,4,2,1,7,8,9,10,11,12,,,,,,13,,,,,,,,,,,
R_00000000003055,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000003056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003058,3,2,1,,,,,,,1,1,2,3,1,,,,,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,4,5,3,,,
R_00000000003059,,,1,,,,,,,1,3,2,1,1,,4,,,,,,1,,2,3,,,,,,,,,13,,,,,,,14,12,11,9,10,8,,6,,5,2,7,1,4,,,,,,,,,
R_00000000003060,1,2,3,1,melgoza,2,hechler,3,magana,,2,1,3,,4,,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2
R_00000000003061,3,1,2,,,,,,,1,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3
R_00000000003062,3,2,1,,,,,,,1,3,1,2,1,,,4,,1,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,5,4,1,,,
R_00000000003063,3,1,2,,,,,,,1,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,
R_00000000003064,1,3,2,,,,,,,1,1,3,2,1,,,2,4,,,1,,,,3,,,,,,5,,,,,,,,4,,,,,2,,,,,,1,,,,,,,,,,,,,
R_00000000003065,,1,,,,,,,,,1,,,,,,,,3,1,2,,,,,,,,,,,,,,,,,,,,,1,5,6,4,2,,,,,,,,,,,,,,,,,
R_00000000003066,3,2,1,,,,,,,1,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003067,,1,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
R_00000000003068,2,1,3,1,Austin Hechler,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003069,2,1,3,1,Ushma Patel,,,,,1,1,3,2,1,,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003070,3,1,2,1,Natalie Jordan,,,,,,2,1,3,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,3,5,4,,,
R_00000000003071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003074,,,1,1,,,,,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
R_00000000003075,,1,,1,Natalie Jordan,,,,,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003076,1,2,3,,,,,,,1,1,2,3,1,,,,4,,1,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,3,4,2,,,
R_00000000003077,3,1,2,1,Austin Hechler,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003078,2,3,1,,,,,,,1,1,2,3,1,,2,,,3,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,,1,5,,,
R_00000000003079,1,3,2,,,,,,,1,,,,1,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,
R_00000000003080,3,1,2,,,,,,,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003081,3,1,2,1,,2,,3,,1,1,2,3,1,,,,,1,4,2,,,,3,,,,,,,8,9,6,,7,2,,,1,,10,11,12,13,4,14,,,,,,5,,,,,,,,,,
R_00000000003082,3,2,1,1,Jose Magana,2,Austin Hechler,3,Alejandra Melgoza,,2,1,3,1,,3,4,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,4,3,2,,,
R_00000000003083,2,3,1,,,,,,,,,,,,4,,,,,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1
R_00000000003084,3,2,1,,,,,,,1,3,2,1,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,,2,1,,,
R_00000000003085,3,1,2,,,,,,,1,1,2,3,1,,,4,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
R_00000000003086,2,1,3,1,Natalie Jordan,,,,,1,1,2,3,1,,,4,,1,3,2,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
R_00000000003087,2,3,1,,,,,,,1,1,3,2,1,,,2,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1
R_00000000003088,2,1,3,1,Austin Hechler,2,Alejandra Melgoza,3,Jose Magana,1,1,2,3,1,,,4,,1,,2,,,,3,,,,,,,,,,,4,2,5,12,11,10,9,6,7,8,1,,,,,,13,14,,,,,,,,,,
R_00000000003089,,1,,,Natalie Jordan,,,,,,2,1,,1,,,,,1,2,3,,,,,,,,,,,8,,,6,,5,,1,2,,,,7,4,,,,,,,,,,,,,,,,,,
R_00000000003090,2,3,1,,,,,,,1,2,3,1,1,4,,,,,2,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1
R_00000000003091,2,3,1,1,Manushi Yapabandara,,,,,1,3,2,1,1,,1,3,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2
R_00000000003092,3,2,1,,,,,,,1,2,3,1,1,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003093,,1,,1,Natalie Jordan,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
R_00000000003094,2,3,1,1,,2,,3,,1,2,3,1,1,,,,2,,3,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,,4,5,,,
R_00000000003095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003096,3,2,1,,,,,,,1,2,3,1,1,4,,,,,,,1,3,2,,,,,,,,12,,,13,,2,9,10,6,,,7,5,14,,8,,11,1,,,,4,,,,,,,,,
R_00000000003097,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003098,1,3,2,1,Alejandra Melgoza,2,Jose Magana,3,Austin Hechler,1,3,2,1,1,,,,3,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,5,4,2,,,
R_00000000003099,1,3,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003100,,1,,,,,,,,1,,1,,1,4,3,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003101,,1,,1,Natalie Jordan,,,,,1,1,,,,,,,,2,1,3,,,,,,,,,,,,,,,12,11,10,9,13,8,4,2,1,7,5,,,,,,6,,,,,,,,,,,
R_00000000003102,2,1,3,1,natalie jordan ,2,?,3,?,1,1,3,2,1,,,,,4,2,3,,,,1,,,,,,,,,10,7,6,8,9,11,1,12,,4,2,5,13,,14,,,,,,,,,,,,,,,
R_00000000003103,3,2,1,,,,,,,1,3,2,1,1,,2,,,,,4,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1
R_00000000003104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003105,2,3,1,1,The Response,,,,,1,3,1,2,1,,1,2,3,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3
R_00000000003106,,,,,,,,,,,,,,,4,,,,,,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003107,3,1,2,,,,,,,1,1,2,3,1,,2,,,3,1,4,,,,,,,,,,,13,14,,,6,7,,1,8,9,10,11,2,12,4,,,,,,5,,,,,,,,,,,
R_00000000003108,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003109,1,3,2,,,,,,,,3,1,2,,,1,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003110,2,1,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003111,3,1,2,1,Trevor Fritz,,,,,1,2,1,3,1,,,,,,,,,,,,,,,1,2,,,,,4,5,6,7,8,2,9,10,11,12,1,13,,14,,,,,,,,,,,,,,,
R_00000000003112,3,1,2,1,Izzy Kipnis,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003114,3,1,2,1,natalie jordan,,,,,1,1,2,3,1,,,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003115,3,2,1,,,,,,,1,2,1,3,1,,,,,1,3,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,5,,1,,,
R_00000000003116,3,2,1,,,,,,,1,3,1,2,1,,,,,3,1,,,,,2,,,,,,,7,,,,,,,,,2,,1,4,,,,,6,,,5,,,,,,,,,,,
R_00000000003117,2,1,3,,,,,,,1,2,3,1,1,,4,,,1,2,,,,,3,,,,,,,,6,10,11,7,8,,14,,1,9,2,4,,12,13,,,,,5,,,,,,,,,,,
R_00000000003118,1,3,2,2,jose magana,1,alejandra melgoza,3,austin gechler,1,3,1,2,1,3,,,,,,4,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003119,,1,,1,Natalie Jordan,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,
R_00000000003120,2,3,1,,,,,,,1,1,3,2,1,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
R_00000000003121,2,3,1,,,,,,,1,2,3,1,1,4,2,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,
R_00000000003122,,1,,,,,,,,1,1,,,,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
R_00000000003123,3,1,2,,,,,,,1,1,3,2,1,,,,,3,2,1,,,,4,,,,,,,,,,,11,4,1,2,5,6,7,8,9,10,,,,,,,12,13,,,,,,,,,,
R_00000000003124,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
R_00000000003125,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003126,3,1,2,1,Natalie Jordan ,,,,,1,1,2,3,1,,,,,,2,1,,,,,,,,,,,,,,,,4,12,2,11,1,5,6,7,8,9,,,,,,10,,,,,,,,,,,
R_00000000003127,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003128,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003129,3,1,2,,,,,,,1,1,3,2,1,,,,,1,3,2,4,,,,,,,,,,,,,,1,2,4,5,6,7,8,9,10,11,12,,,,,,13,,,,,,,,,,,
R_00000000003130,3,2,1,,,,,,,1,2,1,3,1,,,,,1,2,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,5,3,4,,,
R_00000000003131,2,1,3,1,Manushi Yapabandara,,,,,1,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000003132,3,2,1,1,Alejandra Melgoza,2,Austin Hechler,3,Jose Magana,1,1,2,3,1,1,,,3,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,4,5,,,,
